MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice,LogSalePrice,BsmtFin,House_age,Remod_age,FlrSF,Bath,AbvGrd,OpenSF,bedroom/totalRoomAboveGrade
70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,NA,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,649,GasA,TA,N,SBrkr,1317,TA,6,Typ,0,NA,Detchd,Unf,1,250,TA,Fa,N,0,54,WD,Normal,40000,10.596634733096073,0,88,58,1317,1,4,226,0.5
20,RL,0.0,8544,Pave,IR1,Lvl,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,1228,GasA,Gd,Y,SBrkr,1228,Gd,6,Typ,0,NA,Attchd,Unf,1,271,TA,TA,Y,0,65,WD,Normal,149350,11.914047823644255,0,42,2,1228,2,4,65,0.5
20,RL,85.0,11049,Pave,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,1234,GasA,Ex,Y,SBrkr,1234,Gd,7,Typ,0,NA,Attchd,RFn,2,484,TA,TA,Y,0,30,WD,Normal,179900,12.100156419938624,0,1,1,1234,2,4,30,0.42857142857142855
20,RL,70.0,10552,Pave,IR1,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,380,1398,GasA,Gd,Y,SBrkr,1700,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,TA,Y,0,38,WD,Normal,165500,12.016726473799254,1018,51,51,1700,2,5,38,0.6666666666666666
120,RL,60.0,7313,Pave,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,408,1561,GasA,Ex,Y,SBrkr,1561,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,TA,Y,203,47,WD,Normal,277500,12.533576212168626,1153,2,2,1561,2,3,250,0.3333333333333333
60,RL,108.0,13418,Pave,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,1117,GasA,Ex,Y,SBrkr,2452,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,TA,Y,113,32,WD,Normal,309000,12.641096555879882,0,2,1,2452,4,5,145,0.4444444444444444
20,RL,112.0,10859,Pave,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,1097,GasA,Ex,Y,SBrkr,1097,TA,6,Typ,0,NA,Attchd,Unf,2,672,TA,TA,Y,392,64,WD,Normal,145000,11.884489021402711,0,15,14,1097,2,4,456,0.5
20,RL,74.0,8532,Pave,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,84,1297,GasA,Gd,Y,SBrkr,1297,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,TA,Y,0,0,WD,Normal,153000,11.938193200374572,1213,55,19,1297,1,4,0,0.6
20,RL,68.0,7922,Pave,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326,1057,GasA,TA,Y,SBrkr,1057,Gd,5,Typ,0,NA,Detchd,Unf,1,246,TA,TA,Y,0,52,WD,Abnorml,109000,11.59910316121128,731,57,3,1057,1,4,52,0.6
90,RL,65.0,6040,Pave,Reg,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,NA,0.0,TA,TA,PConc,NA,NA,NA,NA,NA,0,0,GasA,TA,N,FuseP,1152,Fa,6,Typ,0,NA,NA,NA,0,0,NA,NA,N,0,0,WD,AdjLand,82000,11.314474526246391,0,53,53,1152,2,4,0,0.3333333333333333
20,RL,84.0,8658,Pave,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,445,1088,GasA,Ex,Y,SBrkr,1324,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,TA,Y,0,138,WD,Abnorml,160000,11.982929094215963,643,41,41,1324,2,4,138,0.5
20,RL,115.0,16905,Pave,Reg,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,383,1350,GasA,Gd,Y,SBrkr,1328,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,TA,P,0,104,WD,Normal,170000,12.043553716032399,967,48,48,1328,2,3,104,0.4
85,RL,0.0,9180,Pave,IR1,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,0,840,GasA,Gd,Y,SBrkr,884,Gd,5,Typ,0,NA,Attchd,RFn,2,504,TA,Gd,Y,240,0,WD,Normal,144000,11.877568578558138,840,24,24,884,1,3,240,0.4
20,RL,0.0,9200,Pave,IR1,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,167,938,GasA,TA,Y,SBrkr,938,TA,5,Typ,0,NA,Detchd,Unf,1,308,TA,TA,Y,145,0,WD,Normal,130250,11.777210959615614,771,33,28,938,1,4,145,0.6
20,RL,70.0,7945,Pave,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,465,1150,GasA,Ex,Y,FuseA,1150,TA,6,Typ,0,NA,Attchd,RFn,1,300,TA,TA,Y,0,0,WD,Normal,141000,11.856515169360305,685,47,47,1150,1,4,0,0.5
120,RL,61.0,7658,Pave,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1296,1752,GasA,Ex,Y,SBrkr,1752,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,196,82,WD,Normal,319900,12.675763725937609,456,5,5,1752,2,3,278,0.3333333333333333
50,RL,48.0,12822,Pave,IR1,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,83,1434,GasA,Ex,Y,SBrkr,2149,Gd,6,Typ,1,Ex,Attchd,RFn,2,670,TA,TA,Y,168,43,WD,Abnorml,239686,12.387085012375499,1351,6,6,2149,2,2,409,0.16666666666666666
20,FV,84.0,11096,Pave,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1632,1656,GasA,Ex,Y,SBrkr,1656,Gd,7,Typ,0,NA,Attchd,RFn,3,826,TA,TA,Y,0,146,WD,Normal,249700,12.428015476267865,24,1,1,1656,2,4,146,0.42857142857142855
190,RM,33.0,4456,Pave,Reg,Lvl,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,736,GasA,Gd,Y,SBrkr,1452,TA,8,Typ,0,NA,NA,NA,0,0,NA,NA,N,0,0,New,Partial,113000,11.635143097694478,0,89,1,1452,2,5,102,0.25
20,RL,66.0,7742,Pave,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,192,955,GasA,Ex,Y,SBrkr,955,TA,6,Typ,0,NA,Attchd,Unf,1,386,TA,TA,Y,0,0,WD,Normal,127000,11.751942365440728,763,41,41,955,1,4,0,0.5
60,RL,0.0,13869,Pave,IR2,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,612,794,GasA,Gd,Y,SBrkr,1470,TA,6,Typ,0,NA,Attchd,Fin,2,388,TA,TA,Y,0,75,WD,Normal,177000,12.083905011555967,182,10,10,1470,2,4,75,0.5
50,RM,52.0,6240,Pave,Reg,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,816,GasA,TA,Y,SBrkr,1176,TA,6,Typ,1,Gd,Detchd,Unf,2,528,TA,TA,Y,112,0,WD,Normal,114500,11.648330101976432,0,72,56,816,1,4,112,0.5
90,RM,110.0,8472,Grvl,IR2,Bnk,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,0,816,GasA,TA,N,SBrkr,816,TA,5,Typ,0,NA,CarPort,Unf,2,516,TA,TA,Y,106,0,WD,Normal,110000,11.608235644774552,816,47,47,816,1,3,106,0.4
20,RL,68.0,50271,Pave,IR1,Low,Inside,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,NA,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,32,1842,GasA,Gd,Y,SBrkr,1842,Gd,5,Typ,1,Gd,Attchd,Fin,3,894,TA,TA,Y,857,72,WD,Normal,385000,12.86099861326992,1810,25,19,1842,1,1,929,0.0
80,RL,60.0,7134,Pave,Reg,Bnk,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,384,GasA,TA,Y,SBrkr,1360,TA,6,Min1,1,TA,Detchd,Unf,2,572,TA,TA,Y,0,50,WD,Normal,130000,11.77528972943772,384,52,52,1360,1,4,50,0.5
20,RL,100.0,10175,Pave,IR1,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,935,1425,GasA,Gd,Y,SBrkr,1425,TA,7,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,0,0,WD,Normal,180500,12.103486056755072,490,44,44,1425,2,4,407,0.42857142857142855
160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,321,970,GasA,Ex,Y,SBrkr,1739,Gd,7,Typ,0,NA,Attchd,Fin,2,480,TA,TA,Y,115,0,WD,Abnorml,172500,12.058152515453552,649,10,9,1739,3,4,115,0.42857142857142855
60,RL,89.0,11645,Pave,IR1,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,860,GasA,Ex,Y,SBrkr,1720,Gd,7,Typ,0,NA,Attchd,RFn,2,565,TA,TA,Y,0,70,WD,Normal,196500,12.188417710291453,0,2,2,1720,3,4,70,0.42857142857142855
60,RL,66.0,13682,Pave,IR2,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1410,1410,GasA,Ex,Y,SBrkr,2945,Gd,10,Typ,1,Gd,BuiltIn,Fin,3,641,TA,TA,Y,192,0,New,Partial,438780,12.991753427493052,0,0,0,2945,4,4,229,0.3
20,RL,60.0,7200,Pave,Reg,Bnk,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,148,780,GasA,Ex,Y,SBrkr,780,TA,4,Typ,0,NA,Detchd,Unf,1,352,TA,TA,Y,196,0,WD,Normal,124900,11.73526869611367,632,36,36,780,1,3,196,0.5
